reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
280359021,2018-02-12,11:02:09:917000,PANW,2018-02-23,155,C,237,AUTOX,Q,0.8,3.85,3,396,3.05,3.85,591,100,591,32.99,20,0.513,-55.193,10.812,0.047,0.311,2.331
280359022,2018-02-12,11:02:09:917000,PANW,2018-02-23,155,C,237,AUTOX,I,0.8,3.85,1,396,3.05,3.85,588,100,588,32.65,20,0.513,-55.193,10.812,0.047,0.311,2.331
280359023,2018-02-12,11:02:09:917000,PANW,2018-02-23,155,C,237,AUTOX,H,0.8,3.85,1,396,3.05,3.85,588,100,588,32.65,20,0.513,-55.193,10.812,0.047,0.311,2.331
280361542,2018-02-12,11:02:53:392000,MON,2018-03-16,135,P,0,REG,W,0.9,13.9,1,17,13,13.9,154,100,154,88.96,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361543,2018-02-12,11:02:53:392000,MON,2018-03-02,160,P,0,REG,W,0.95,38.95,1,1,38,38.95,179,100,179,99.44,5,-0.945,-22.562,2.994,0.005,0.763,-7.654
280361544,2018-02-12,11:02:53:393000,MON,2018-03-16,135,P,0,AUTOX,Q,0.9,13.9,1,17,13,13.9,175,100,175,90.29,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361545,2018-02-12,11:02:53:393000,MON,2018-03-02,150,P,0,AUTOX,Q,0.95,28.95,1,17,28,28.95,179,100,179,90.5,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
280361546,2018-02-12,11:02:53:393000,MON,2018-03-02,155,P,0,AUTOX,Q,0.95,33.95,1,1,33,33.95,200,100,200,99.5,6,-0.942,-21.366,3.125,0.006,0.693,-7.387
280361547,2018-02-12,11:02:53:393000,MON,2018-03-02,160,P,0,REG,W,0.95,38.95,1,1,38,38.95,201,100,201,99.5,5,-0.945,-22.562,2.994,0.005,0.763,-7.654
280361548,2018-02-12,11:02:53:393000,MON,2018-03-02,160,P,0,AUTOX,Q,0.95,38.95,1,1,38,38.95,200,100,200,99.5,5,-0.945,-22.562,2.994,0.005,0.763,-7.654
280361549,2018-02-12,11:02:53:393000,MON,2018-03-16,135,P,0,AUTOX,Q,0.9,13.9,1,17,13,13.9,175,100,175,90.29,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361551,2018-02-12,11:02:53:393000,MON,2018-03-02,165,P,0,AUTOX,B,0.95,43.95,6,1,43,43.95,198,100,198,99.49,3,-0.954,-20.307,2.578,0.004,0.8,-7.956
280361552,2018-02-12,11:02:53:393000,MON,2018-03-02,150,P,0,REG,W,0.95,28.95,3,17,28,28.95,197,100,197,91.37,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
280361553,2018-02-12,11:02:53:393000,MON,2018-03-02,150,P,0,AUTOX,B,0.95,28.95,6,17,28,28.95,197,100,197,91.37,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
280361554,2018-02-12,11:02:53:393000,MON,2018-03-02,150,P,0,AUTOX,B,0.95,28.95,16,17,28,28.95,197,100,197,91.37,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
280361555,2018-02-12,11:02:53:393000,MON,2018-03-02,155,P,0,AUTOX,X,0.95,33.95,1,1,33,33.95,200,100,200,99.5,6,-0.942,-21.366,3.125,0.006,0.693,-7.387
280361557,2018-02-12,11:02:53:394000,MON,2018-03-16,135,P,0,ISOI,W,0.9,13.9,1,17,13,13.9,173,100,173,90.17,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361559,2018-02-12,11:02:53:394000,MON,2018-03-02,150,P,0,AUTOX,X,0.95,28.95,2,17,28,28.95,175,100,175,90.29,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
